"local_identifier","date","timestamp","location_long","location_lat","locationsPerDay","net_displacement","max_displecement","total_distance","avgFlight_heightAGL","sdFlight_heightAGL","flight_time","maxFlight_speed","avgFlight_speed","sdFlight_speed","setOffTimeMinute","returnBeforesunsetMinute","numberOfFlighetSegments","avgSegmentDistance","sdSegmentDistance","avgSegmentTime","sdSegmentTime","released_wild","GroundASL","origin","age_release","days_acclim","status","pre_2020","group_release","day_one","day_ten","timefromday1","season","death_date","days_to_death","max_deltaHeight0","repeat.","max_temp","median_temp","deltaHeight0_75","deltaHeight0_50","age_class","net_km","max_km","totdiskm","maxspeedkm","avgspeedkm","avgsegkm","avgseghr","setOffhr","returnhr","flightHr","dayFromDayOne","n_days"
"E06w",2022-12-20,2022-12-20 04:46:10,35.1607933044434,30.6438331604004,62,17807.859594972,20031.1416448725,34748.6675352556,183.333333333333,105.627418387233,109.6,14.7222222222222,11.2037037037037,2.87294877133643,12.9333333333333,16.85,2.5,6681.59048757945,10084.1159587691,16.2524193548387,36.9507320836664,"wild",34,"wild",4,NA,"wild","5","1",2022-12-15,2022-12-25,5,"winter",2022,NA,303,"4",40,32,183.75,44.5,"subadult",17.807859594972,20.0311416448725,34.7486675352556,53,40.3333333333333,6.68159048757945,0.270873655913978,0.215555555555556,0.280833333333333,1.82666666666667,"5",9
"E06w",2022-12-21,2022-12-21 04:48:34,35.0764656066895,30.786491394043,59,14506.0639841889,23502.1935757281,81163.4960423531,521.307692307692,195.899314798346,259.633333333333,18.8888888888889,12.6175213675214,4.49771758092888,255.2,34.9166666666667,3,16746.4513312725,20175.0797764775,54.861581920904,69.9100345692212,"wild",301,"wild",4,NA,"wild","5","1",2022-12-15,2022-12-25,6,"winter",2022,NA,1196,"4",45,27,672,358,"subadult",14.5060639841889,23.5021935757281,81.1634960423531,68,45.4230769230769,16.7464513312725,0.914359698681733,4.25333333333333,0.581944444444444,4.32722222222222,"6",9
"E06w",2022-12-22,2022-12-22 04:49:14,35.0673141479492,30.9166412353516,61,77.1295804078212,34772.8708532639,109723.343766122,398.793103448276,255.139650739179,287.866666666667,21.6666666666667,12.3754789272031,4.6306398277535,243.866666666667,-13.4166666666667,2.5,47971.5106657798,51918.7966909938,119.808196721311,134.975947604356,"wild",328,"wild",4,NA,"wild","5","1",2022-12-15,2022-12-25,7,"winter",2022,NA,1107,"4",41,30,498,112,"subadult",0.0771295804078212,34.7728708532639,109.723343766122,78,44.551724137931,47.9715106657798,1.99680327868852,4.06444444444444,-0.223611111111111,4.79777777777778,"7",9
"E06w",2022-12-23,2022-12-23 04:49:59,35.0675277709961,30.9164905548096,62,82.1659882274894,10674.2390978632,32220.5250623309,389.764705882353,331.090533202734,169.933333333333,19.1666666666667,11.6503267973856,3.75446055216502,163.866666666667,114.5,6,2102.50814882382,2005.53483693565,13.708064516129,27.2417536096006,"wild",257,"wild",4,NA,"wild","5","1",2022-12-15,2022-12-25,8,"winter",2022,NA,1033,"4",38,30,277.75,37.5,"subadult",0.0821659882274894,10.6742390978632,32.2205250623309,69,41.9411764705882,2.10250814882382,0.228467741935484,2.73111111111111,1.90833333333333,2.83222222222222,"8",9
"E06w",2022-12-24,2022-12-24 04:50:49,35.0685501098633,30.9173069000244,56,146.042455261251,1226.01562762667,9903.68521134483,272.75,165.785755318926,38.6333333333333,15,10.2083333333333,4.41759831776491,403.833333333333,34.6,2,2704.39354481503,901.160925839713,1.3797619047619,5.01992264647807,"wild",286,"wild",4,NA,"wild","5","1",2022-12-15,2022-12-25,9,"winter",2022,NA,870,"4",36,32,69.25,16,"subadult",0.146042455261251,1.22601562762667,9.90368521134483,54,36.75,2.70439354481503,0.0229960317460317,6.73055555555556,0.576666666666667,0.643888888888889,"9",9
"E10w",2022-06-13,2022-06-13 03:12:10,35.0548210144043,30.9343662261963,79,2199.85202210352,5674.06835157349,29148.6855965771,278.5,226.477171235666,118.65,22.5,11.7824074074074,5.72280855745324,174.533333333333,73.2333333333333,5,1738.56251593194,2437.84820287252,4.50675105485232,11.4137495552586,"wild",229,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,0,"summer",2021,NA,602,"4",40,35,78,58,"subadult",2.19985202210352,5.67406835157349,29.1486855965771,81,42.4166666666667,1.73856251593194,0.075112517580872,2.90888888888889,1.22055555555556,1.9775,"0",9
"E10w",2022-06-14,2022-06-14 03:12:28,35.0559234619141,30.9356117248535,79,25113.7192167127,40076.6446633513,201142.38993324,565.53125,273.330708869842,319.133333333333,25.8333333333333,14.9565972222222,4.23398978849407,214.683333333333,193.1,5,26971.6319241237,38328.7055603271,39.4364978902954,54.9344951201174,"wild",322,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,1,"summer",2021,NA,1132,"4",42,34,620.5,268,"subadult",25.1137192167127,40.0766446633513,201.14238993324,93,53.84375,26.9716319241237,0.657274964838256,3.57805555555556,3.21833333333333,5.31888888888889,"1",9
"E10w",2022-06-15,2022-06-15 03:24:16,34.898380279541,30.7554016113281,78,10409.7049018678,40222.501776804,124884.337151434,339.222222222222,230.508356820534,269.433333333333,24.7222222222222,11.6049382716049,5.44948600809776,184.583333333333,42.8833333333333,8,9417.04703738541,16013.7584020016,16.5294871794872,26.7671186911039,"wild",514,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,2,"summer",2021,NA,544,"4",45,37,158.25,104,"subadult",10.4097049018678,40.222501776804,124.884337151434,89,41.7777777777778,9.41704703738541,0.275491452991453,3.07638888888889,0.714722222222222,4.49055555555556,"2",9
"E10w",2022-06-16,2022-06-16 03:13:02,34.8321876525879,30.8298320770264,79,3866.4426425798,19617.9578533426,109174.995510513,299.28,206.451269472161,249.9,22.5,13.1666666666667,4.43503053932819,184.633333333333,243.716666666667,4,9934.77720620689,11764.1662564386,20.8782700421941,31.8223110817146,"wild",427,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,3,"summer",2021,NA,892,"4",40,36,166,24,"subadult",3.8664426425798,19.6179578533426,109.174995510513,81,47.4,9.93477720620689,0.347971167369902,3.07722222222222,4.06194444444444,4.165,"3",9
"E10w",2022-06-17,2022-06-17 03:13:40,34.8256225585938,30.8559246063232,79,6295.3216992255,24665.0484253642,137014.308014992,311.969696969697,170.162511450173,329.983333333333,26.3888888888889,11.8686868686869,5.19315971526804,144.65,183.816666666667,5,36358.025810868,50643.095755239,81.3869198312236,115.65905806002,"wild",446,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,4,"summer",2021,NA,1457,"4",45,35,341.5,134,"subadult",6.2953216992255,24.6650484253642,137.014308014992,95,42.7272727272727,36.358025810868,1.35644866385373,2.41083333333333,3.06361111111111,5.49972222222222,"4",9
